commonName,lat,lon,is_pure_bus,id,lines
Farm Road,51.39225,-0.19201,1,490006749N,470
Farm Road,51.39263,-0.19235,1,490006749S,470
Farm Road,51.61765,-0.26637,1,490006748W,"221, 240, 292, 384, 688"
Farm Road,51.61784,-0.26656,1,490008197E,"221, 240, 292, 384, 688"
Farm Road,51.63094,-0.09289,1,490002224Y,456
Farm Road,51.63102,-0.09367,1,490002224Z,456
Farm Road / Morden Recreation Ground,51.39263,-0.19235,1,490G00006749,470
Farmcote Road,51.4406,0.01644,1,490006743S,261
Farmcote Road,51.44083,0.01615,1,490006743N,261
Farmstead Road,51.42656,-0.02296,1,490006750W,181
Farmstead Road,51.42661,-0.02268,1,490006750E,181
Farmstead Road,51.42724,-0.01948,1,490006750WX,181
Farnaby Road / Beckenham Lane,51.40768,0.00562,1,490006752N,354
Farnborough Common / P R U Hospital,51.36462,0.0559,1,490006756E,"261, 358, 684, R3, R4"
Farnborough Common / P R U Hospital,51.36557,0.05409,1,490006756W,"261, 358, 684"
Farnborough Crescent,51.34952,-0.044,1,490008570N,359
Farnborough Green,51.36012,0.06502,1,490006754W,358
Farnborough Green,51.36026,0.06471,1,490006754P,358
Farnborough High Street / Church Road,51.35934,0.07021,1,490006753S,358
Farnborough High Street / Church Road,51.35943,0.0715,1,490006753E,358
Farnborough Hill,51.35555,0.08927,1,490015899G,R1
Farnborough Hill,51.35586,0.08996,1,490015898W,R1
Farnborough Hill / Bus Garage,51.35624,0.08836,1,490009841OA,"358, 684, R8"
Farnborough Hill / Bus Garage,51.35637,0.08838,1,490009841O,"358, 684, R8"
Farnborough Hill / Shire Lane,51.35777,0.08521,1,490012089E,"358, R8"
Farnborough Hill / Shire Lane,51.35807,0.08383,1,490012089W,"358, R8"
Farnborough Park,51.3684,0.04975,1,490006757E,"261, 336, 358, 61"
Farnborough Park,51.36863,0.04928,1,490006757N,"261, 336, 358, 61"
Farnborough Way,51.36168,0.07153,1,490006759W,"684, R4"
Farnborough Way,51.36215,0.07271,1,490006759E,"684, R4"
Farndale Crescent,51.53247,-0.35169,1,490013451S,E10
Farndale Crescent,51.53255,-0.35174,1,490013451N,E10
Farnell Road,51.46761,-0.34533,1,490006760S,"618, H22"
Farnell Road,51.46829,-0.34698,1,490006760N,"618, H22"
Farnham Gardens,51.40707,-0.23532,1,490006761S,"131, N87"
Farnham Gardens,51.40766,-0.23534,1,490006761N,"131, N87"
Farningham Road,51.28731,-0.078134,1,40004410109B,"407, 434"
Farningham Road,51.288076,-0.077715,1,40004410109A,"407, 434"
Farnsworth Drive,51.61897,-0.28949,1,490012888N,"142, 642"
Farnsworth Drive,51.61936,-0.28975,1,490008552S,"142, 642"
Farrance Road,51.57189,0.13937,1,490003449W,"173, 362, 62, 86, N86"
Farringdon,51.520214,-0.105054,0,HUBZFD,"Circle, Elizabeth line, Hammersmith & City, Metropolitan, Thameslink"
Farringdon Road,51.52218,-0.10774,1,490001988X,"243, 55, N55"
Farringdon Station,51.52024,-0.10582,1,490000080B,"341, 40, 63, N63"
Farringdon Station,51.52042,-0.10604,1,490000080A,"341, 40, 63, N63"
Farthing Street,51.34247,0.0511,1,490006764W,146
Farthing Street,51.34377,0.05026,1,490006764S,146
Farthing Way,51.32209,-0.13498,1,490002189Z,404
Farwell Road,51.42854,0.11727,1,490018713N,B14
Farwig Lane,51.41039,0.0102,1,490006765S2,"208, 320, N199"
Farwig Lane,51.41134,0.00927,1,490006765N2,"208, 320, N199"
Fawe Street,51.51654,-0.01604,1,490010043N,108
Fawe Street,51.517,-0.01577,1,490010043S,108
Fawood Avenue,51.54302,-0.2597,1,490006769N,"206, 224"
Fawood Avenue,51.54303,-0.25952,1,490006769S,"206, 224"
Featherbed Lane,51.35118,-0.0393,1,490006771W,"359, 64"
Featherstone Road,51.50225,-0.38543,1,490006772W,E5
Featherstone Road,51.50241,-0.38529,1,490006772E,E5
Featherstone Street,51.52488,-0.09068,1,490018496N,
Felixstowe Road,51.49335,0.11029,1,490006774E,"177, 469"
Felixstowe Road,51.49351,0.11095,1,490006774W,"177, 469"
Felmingham Road,51.40477,-0.05977,1,490013785BC,356
Felmingham Road,51.40509,-0.05879,1,490013785BD,356
Felstead Road,51.342517,-0.266031,1,40004406076B,418
Felstead Road,51.342823,-0.266005,1,40004406076A,418
Felstead Road,51.57242,0.02364,1,490006778S,"101, 145, 308, N55, N8"
Felstead Road,51.60033,0.16861,1,490006777W,"175, 375, 651"
Felstead Road,51.60052,0.16916,1,490009018E,"175, 375, 651"
Feltham Assembly Hall,51.45071,-0.40675,1,490006781N,"117, 235, 285, 490, 635, 90, H26"
Feltham Assembly Hall,51.45135,-0.40622,1,490015730S,"117, 235, 285, 490, 635, 90, H26"
Feltham Leisure West,51.44326,-0.40616,1,490006783E,90
Feltham Police Station,51.44663,-0.4038,1,490006784W,"285, 490"
Feltham Police Station,51.44669,-0.40365,1,490006784E,"285, 490"
Feltham Rail Station,51.447898,-0.409838,0,910GFELTHAM,"117, 235, 635, 90, H25, H26, South Western Railway"
Feltham Road,51.431985,-0.455102,1,40004402169B,"216, 290"
Feltham Station,51.44783,-0.40918,1,4900FELTHAM1,
Feltham Station,51.44789,-0.41092,1,490001107B,H25
Feltham Station,51.44793,-0.41054,1,4900FELTHAM2,
Feltham Station,51.448,-0.41071,1,490001107D,
Feltham Station,51.44875,-0.40789,1,4900FELTHAM4,
Feltham Station,51.44876,-0.40825,1,4900FELTHAM3,
Feltham Station,51.4488,-0.40814,1,49001107HW,"285, 490, H25"
Feltham Station,51.44883,-0.40789,1,49001107HE,"285, 490, H25"
Feltham Station  / New Road,51.44789,-0.41116,1,490001107A,H25
Feltham Station  / Victoria Road,51.44632,-0.40968,1,490003789H,"117, 235, 635, 90, H25, H26"
Feltham Station  / Victoria Road,51.44664,-0.4098,1,490003789G,"117, 235, 635, 90, H25, H26"
Feltham Tesco,51.44281,-0.41261,1,490006786K,"117, 235, 635, H25, H26"
Feltham Young Offenders Institute,51.44238,-0.43287,1,490006788W,H26
Felthambrook Way,51.43726,-0.40809,1,490006782W,H25
Felthambrook Way,51.43735,-0.40796,1,490006782E,H25
Fen Grove,51.44632,0.09531,1,490006793Z,B13
Fen Lane,51.54027,0.29636,1,490013486N,370
Fen Lane,51.54152,0.29588,1,490013486S,370
Fencepiece Road,51.59536,0.08356,1,490006790S,275
Fencepiece Road,51.5955,0.08316,1,490006790N,275
Fenchurch Street,51.51135,-0.08542,1,490000148U,"141, 149, 21, 344, 35, 388, 43, 47, N133"
Fenchurch Street,51.51236,-0.08493,1,490000148M,"141, 149, 21, 344, 35, 388, 43, 47, N133"
Fenchurch Street Station,51.51109,-0.07713,1,4900FENCHRS2,
Fenchurch Street Station,51.51137,-0.07727,1,4900FENCHRS3,
Fenchurch Street Station,51.51175,-0.0792,1,4900FENCHRS1,
Fenchurch Street Station,51.51211,-0.08006,1,490001108W,
Fenchurch Street Station,51.51239,-0.07951,1,490001108E,
Fendall Street,51.49568,-0.07824,1,490006792E,"1, 78, N1"
Fenn Street,51.54837,-0.04721,1,490006795C,"236, 276, 394, 425, 488, W15"
Fentiman Road,51.48014,-0.11411,1,490006796T,"155, 333, N155"
Fentiman Road,51.48017,-0.11431,1,490006796S,"155, 333, N155"
Fenton Avenue,51.427534,-0.488926,1,40004402118B,"117, 290"
Fenton Avenue,51.427759,-0.489653,1,40004402118A,"117, 290"
Fenwick Place,51.46539,-0.12805,1,490016803W,322
Fenwick Place,51.46557,-0.12769,1,490016803E,322
Ferdinand Street,51.54395,-0.14908,1,490006798CL,24
Ferdinand Street,51.54427,-0.14932,1,490006798CK,24
Fern Grove,51.45009,-0.40709,1,490006781S,"117, 235, 285, 490, 635, 90, H26"
Fern Lane,51.48971,-0.37167,1,490006811N1,120
Fern Lane,51.49006,-0.37176,1,490006811N2,120
Fernbrook Crescent,51.45155,0.00155,1,490018709W,273
Fernbrook Crescent,51.45163,0.00189,1,490018709E,273
Ferncroft Avenue,51.57206,-0.39293,1,490006801S,282
Ferncroft Avenue,51.57225,-0.39353,1,490006801N,282
Ferndale Crescent,51.5334,-0.48237,1,490006802S,"222, U5"
Ferndale Crescent,51.53485,-0.48245,1,490006802N,"222, U5"
Ferndale Road,51.430234,-0.479343,1,40004402115A,117
Ferndale Road,51.431165,-0.479053,1,40004402115B,117
Ferndale Street,51.50923,0.06723,1,490006804S,
Ferndale Street,51.50926,0.067,1,490006804N2,"366, 376, 474, 678"
Ferndale Street,51.51065,0.06898,1,490006804N1,"262, 366, 376, 474, 678, N551"
Fernhead Road,51.53255,-0.2019,1,490006806H,"316, 6"
Fernhead Road / Carlton Vale,51.53173,-0.20252,1,490004806S,"187, 36"
Fernheath Way,51.420743,0.16973,1,2400A020840A,B12
Fernheath Way,51.420955,0.169481,1,2400A020950A,B12
Fernhill Street,51.50057,0.05729,1,490006808W,"473, 474"
Fernhill Street,51.501,0.05643,1,490006808E,"473, 474"
Fernleigh Court,51.56995,-0.2955,1,490000988Z,223
Fernleigh Court,51.57009,-0.29612,1,490000988Y,223
Ferns Close,51.34125,-0.06637,1,490016426E,"359, 412, 612, 685"
Ferns Close,51.34168,-0.06536,1,490016426W,"359, 412, 612, 685"
Fernside Avenue,51.43571,-0.40046,1,490006813S,H25
Fernside Avenue,51.43622,-0.40122,1,490006813N,H25
Fernwood Avenue,51.54978,-0.31084,1,490016094W,H17
Ferrers Avenue,51.50839,-0.47327,1,490006815H,"222, 350, 698, U3, U5"
Ferrers Avenue,51.50853,-0.47363,1,490006815G,"222, 350, 698, U3, U5"
Ferro Road,51.51664,0.19569,1,490006816W2,372
Ferro Road,51.51669,0.19592,1,490006816W,372
Ferry Lane,51.58742,-0.05809,1,490006819W,W4
Ferry Lane,51.5876,-0.05886,1,490006819E,W4
Ferry Lane Industrial Estate,51.5867,-0.04432,1,490006821W,"123, 230, N73"
Ferry Lane Primary School,51.58494,-0.0596,1,490006820S,W4
Ferrymead Drive,51.53495,-0.36613,1,490006822W,E10
Festing Road,51.46806,-0.22292,1,490006825W,"22, 265, 378, 485, N22, N33, N72"
Festing Road,51.46829,-0.22342,1,490006825E,"22, 265, 378, 485, N22, N33, N72"
Festival Pier,51.50656,-0.11712,0,4900FES0,
Festival Pier,51.506692,-0.117248,0,930GFES,"1, 139, 172, 176, 188, 243, 341, 59, 68, 76, N1, N171, N343, N68, SL6, Thames River Services"
Fetter Lane,51.51414,-0.10839,1,490006826W,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89"
Fetter Lane,51.51425,-0.10875,1,490006826E,"15, 26, 341, 76, N15, N199, N21, N26, N550, N551, N89"
Field Mead,51.6065,-0.24415,1,490014664W,"303, 642"
Field Road,51.499176,0.251042,1,1590004401,372
Field Road,51.499186,0.250509,1,1590004301,372
Field View,51.43497,-0.43676,1,490006829W,117
Field View,51.43517,-0.43602,1,490006829E,117
Field Way,51.57545,-0.43588,1,490008229E,U10
Fielding Avenue,51.4364,-0.35444,1,490006828W,"290, 481"
Fielding Avenue,51.43647,-0.35414,1,490006828E,"290, 481"
Fieldway,51.3513,-0.02425,0,4900ZZCRFLD0,
Fieldway,51.35309,-0.02601,1,490015533S1,314
Fieldway Tram Stop,51.35014,-0.02343,1,490002038B,130
Fieldway Tram Stop,51.3513,-0.02425,0,940GZZCRFLD,"130, 314, Tram"
Fieldway Tram Stop,51.35139,-0.02433,1,490002038A,314
Fifth Avenue,51.52717,-0.21289,1,490006832E,"18, 228, 28, N18"
Fifth Avenue,51.53189,-0.21134,1,490003125W,"187, 316, 6"
Fifth Avenue / Queen's Park Library,51.52691,-0.21148,1,490006832W,"18, 228, 28, N18"
Fifth Way,51.55931,-0.27406,1,490004759E,"206, 92"
Finchale Road / Eynsham Drive,51.49462,0.1124,1,490003026N,469
Finchale Road / Eynsham Drive,51.49483,0.11218,1,490003026S,469
Finchley Central,51.60108,-0.1923,1,490000081S,
Finchley Central,51.60116,-0.19217,1,490000081N,
Finchley Central,51.60206,-0.19384,1,490003156F,"326, 382"
Finchley Central,51.60227,-0.19393,1,490003156E,"326, 382"
Finchley Central Station,51.60225,-0.19232,1,490000081D,"125, 13, 143, 382, 460, 626, 683, N20, SL10"
Finchley Central Station,51.60255,-0.19217,1,490000081C,"125, 13, 143, 382, 460, 626, 683, N20, SL10"
Finchley Central Underground Station,51.600921,-0.192527,0,940GZZLUFYC,"125, 13, 143, 326, 460, 626, 683, N20, Northern"
Finchley Golf Club,51.61086,-0.20487,1,490006835W,221
Finchley Golf Club,51.61139,-0.20468,1,490006835N,221
Finchley High Road,51.60065,-0.17486,1,490006836E,"112, 232"
Finchley High Road,51.60149,-0.17287,1,490006836W,232
Finchley Memorial Hospital,51.60594,-0.17667,1,490002214Z,383
Finchley Park,51.62025,-0.17652,1,490013099S,"125, 263, 626, N20"
Finchley Park,51.62103,-0.17681,1,490013099N,"125, 263, 626, N20"
Finchley Road,51.54172,-0.17574,1,490006837K,"31, N28, N31"
Finchley Road,51.55701,-0.19622,1,490006953N,"139, 328"
Finchley Road,51.57188,-0.19616,1,490006838GN,"183, 210, 240, 83, H2, H3, N5, N83"
Finchley Road,51.57219,-0.19706,1,490006838GT,"183, 210, 240, 83, N5, N83"
Finchley Road & Frognal Rail Station,51.550266,-0.183141,0,910GFNCHLYR,"113, 13, 187, 268, 46, 603, C11, Mildmay, N113"
Finchley Road & Frognal Station,51.55014,-0.18237,1,490001109FF,"113, 13, N113"
Finchley Road & Frognal Station,51.5502,-0.1828,0,4900FNCHLYR1,
Finchley Road & Frognal Station,51.55043,-0.18326,1,490001109FD,"113, 13, N113"
Finchley Road / College Crescent,51.54453,-0.17565,1,490005487B,"113, 13, 187, 268, C11, N113"
Finchley Road / O2 Centre,51.54791,-0.18067,1,490007045FL,"113, 13, 187, 268, N113"
Finchley Road Station,51.54622,-0.18039,1,490000082R,C11
Finchley Road Station,51.54635,-0.17888,1,490000082FJ,"113, 13, 187, 268, C11, N113"
Finchley Road Station,51.54675,-0.17946,1,490000082FK,"113, 13, 187, 268, N113"
Finchley Road Station,51.5475,-0.18031,1,490000082F,
Finchley Road Station,51.54819,-0.18061,1,490000082C,
Finchley Road Underground Station,51.546825,-0.179845,0,940GZZLUFYR,"113, 13, 187, 268, C11, Jubilee, Metropolitan, N113"
Finsbury Park,51.564778,-0.105876,0,HUBFPK,"106, 153, 19, 236, 253, 254, 259, 29, 310, 4, Great Northern, N19, N253, N279, N29, Piccadilly, Thameslink, Victoria"
Finsbury Park / Blackstock Road,51.56525,-0.10324,1,490015078M,"253, 254, 259, 29, 310, N253, N279, N29"
Finsbury Park / Blackstock Road,51.56547,-0.10348,1,490015078L,"253, 254, 259, 29, 310, N253, N279, N29"
Finsbury Park / Endymion Gate,51.57513,-0.10116,1,490000424Z,W5
Finsbury Park / Hornsey Gate,51.57225,-0.10487,1,490000423Z,W5
Finsbury Park / Hornsey Gate,51.57265,-0.10483,1,490000423Y,W5
Finsbury Park Interchange,51.56425,-0.10571,1,490000083AP,"106, 153, 19, 236, N19"
Finsbury Park Interchange,51.56469,-0.10569,1,490000083G,"106, 153, 19, 236, 4, N19"
Finsbury Park Interchange,51.56484,-0.10561,1,490000083H,"106, 236"
Finsbury Park Station,51.56374,-0.10638,1,490000083S,"153, 253, 254, 259, 29, 4, N253, N279, N29"
Finsbury Park Station,51.564,-0.10624,1,490000083R,"153, 253, 254, 259, 29, 4, N253, N279, N29"
Finsbury Park Station,51.56556,-0.10799,1,490000083SB,"210, W3, W7"
Finsbury Park Station,51.56564,-0.10701,1,490000083A,W7
Finsbury Park Station,51.56566,-0.10702,1,490000083C,210
Finsbury Park Station,51.56571,-0.10705,1,490000083B,W3
Finsbury Park Station,51.56603,-0.10777,1,490000083E,
Finsbury Square,51.52002,-0.08738,1,490015209C,"214, 43"
Finsbury Square,51.52057,-0.08576,1,490006850G,
Finsbury Square,51.52069,-0.08577,1,490006850H,"141, 21, 214, 43, 76, N271"
Finsbury Square,51.52123,-0.08726,1,490015209D,"141, 21, 76, N271"
Finsbury Square,51.52159,-0.08605,1,490006850F,
Finsbury Square / Moorgate,0.0,0.0,1,490G000282,
Finsbury Square / Moorgate,51.52009,-0.08733,1,490015209K,"141, 153, 21, 43, 76"
Finsbury Square / Moorgate,51.52033,-0.08617,1,490006850J,
Finsbury Street,51.52065,-0.08838,1,490003831E,153
Finsbury Street,51.52069,-0.08913,1,490003831W,153
Finsbury Town Hall,51.52711,-0.10807,1,490013891S,"19, 341, 38, N19, N38, N41"
Fir Tree Gardens,51.36636,-0.02975,1,490006859E,198
Firham Park Avenue,51.59704,0.23922,1,490006851W,496
Firham Park Avenue,51.59724,0.23934,1,490006851E,496
Firhill Road,51.43557,-0.02392,1,490002380ZY,
Firs Avenue,51.60948,-0.15365,1,490006852N,"134, 234, 43, 634"
First Avenue,51.401726,-0.379883,1,40004405117B,411
First Avenue,51.402191,-0.377754,1,40004405117A,411
First Avenue,51.50684,-0.24634,1,490003456E,"207, 218, 272, 306, N207, N266"
First Avenue,51.55188,0.05066,1,490006856E,"25, 425, 86, N25, N86, W19"
First Avenue,51.55196,0.05137,1,490006856W,"25, 425, 86, N25, N86, W19"
First Avenue / Bush Hill Park,51.64058,-0.06993,1,490006449E,"192, 377"
First Avenue / Bush Hill Park,51.64079,-0.06908,1,490006449W,"192, 377"
First Cross Road,51.44415,-0.34592,1,490013564W,"490, H22"
First Cross Road,51.44429,-0.34476,1,490013506N,"490, H22"
First Drive,51.54252,-0.26748,1,490012847W,"18, N18"
First Way,51.55793,-0.27558,1,490006858N,"206, 92"
Fish Island,51.53625,-0.02295,1,490006862W,339
Fish Island,51.53688,-0.02396,1,490006862S,339
Fisher Road,51.60149,-0.3251,1,490006860N,"H18, H19"
Fisher Road,51.60208,-0.32527,1,490006860S,H18
Fishers Lane,51.49273,-0.25983,1,490006861U,272
Fishponds Road,51.36007,0.0388,1,490006863N,"320, 664, 684, R2"
Fishponds Road,51.36031,0.03887,1,490006863S,"320, 664, 684, R2"
Fitzalan Street,51.49203,-0.11091,1,490006864S1,"159, 3, 360, 59, N109, N3"
Fitzalan Street,51.49279,-0.11109,1,490006864N1,"159, 3, 360, 59, N109, N3"
Fitzjohn Avenue,51.65221,-0.19858,1,490003634M,34
Fitzjohn's Avenue,51.5549,-0.17794,1,490006484S,"46, 603"
Fitzwarren Gardens,51.57155,-0.13609,1,490015709W,W5
Fitzwarren Gardens,51.5716,-0.13618,1,490015709E,W5
Five Arches Business Estate,51.41727,0.12134,1,490012143W,"233, 492"
Five Arches Business Estate,51.41774,0.12033,1,490012143E,"233, 492"
Five Elms Road,51.37158,0.02255,1,490006866S,"146, 353"
Five Elms Road,51.37198,0.02228,1,490006866R,"146, 353"
Five Elms School,51.55492,0.14421,1,490006867W,"5, EL2, N15"
Fiveways,51.43507,0.06421,1,490013318E,"160, 162, 314, B13"
Fiveways,51.43509,0.06496,1,490013318W,"160, 162, 314"
Fiveways Corner,51.60211,-0.23609,1,490003023N,"113, N113"
Fiveways Corner,51.60233,-0.23589,1,490003023S,"113, N113"
Flamsted Avenue,51.54843,-0.27888,1,490006871N,"18, N18"
Flamsted Avenue,51.54845,-0.27849,1,490007867E,"18, N18"
Flanchford Road,51.49861,-0.24406,1,490006872W,94
Flanchford Road,51.49865,-0.24442,1,490006872E,94
Flanders Road,51.52887,0.06434,1,490006884N,300
Flanders Road,51.52941,0.06424,1,490018555S,300
Flanders Way,51.54504,-0.04402,1,49002154Z,30
Flash Lane,51.67317,-0.09413,1,490006873S,456
Flash Lane,51.67334,-0.09464,1,490006873N,456
Flaxton Road / Voce Road,51.47345,0.08593,1,490006874N,291
Fleet Street / City Thameslink,51.51491,-0.10441,1,490012640L,"17, 341, 40, 63, N63"
Fleet Street / City Thameslink,51.51532,-0.1048,1,490012640M,"17, 341, 40, 63, N63"
Florence Road,51.47524,-0.0284,1,490006879F,"177, 225, 453, 53, N53, N89"
Florence Road,51.5287,0.01816,1,490006878N2,69
Florence Road,51.52943,0.01836,1,490006878N1,69
Florence Street,51.59052,-0.22154,1,490006880SA,240
Flower Lane / Sacred Heart Church,51.61506,-0.24589,1,490006881H,"186, 221, 240, 251, 605, 688"
Folgate Street,51.52059,-0.07467,1,490010584S,242
Folly Lane,51.59945,-0.03264,1,490006887E,"158, W11"
Fontenoy Road,51.43746,-0.14648,1,490006888S,315
Fontenoy Road,51.43757,-0.14674,1,490006888N,315
Fonthill Road,51.56317,-0.10795,1,490000083X,"153, 253, 254, 259, 29, 4, N253, N279, N29"
Foots Cray Lane / Hurst Road,51.43834,0.11898,1,490006890S,"269, 669, B14"
Foots Cray Lane / Hurst Road,51.43882,0.11864,1,490006890N,"269, 669, B14"
Foots Cray Tesco,51.41255,0.1216,1,490012144E,321
Footscray Road / Southend Crescent,51.44768,0.06271,1,490012293N,"160, 233, 314, 321"
Footscray Road / Southwood Road,51.43719,0.07247,1,490001205C,"233, 321"
Footscray Rugby Club,51.44101,0.0689,1,490006892P,"160, 233, 314, 321, B13"
Footscray Rugby Club,51.44171,0.06812,1,490006892N,"160, 233, 314, 321, B13"
Forburg Road,51.56879,-0.06202,1,490010645N,"253, 254, N253"
Force Green,51.276575,0.073975,1,2400A034770A,246
Force Green,51.276779,0.074113,1,2400A034760A,246
Ford Lane,51.53374,0.19211,1,490006902S,"165, 365, 372, 652"
Ford Lane,51.53404,0.19214,1,490006902N,"165, 365, 372, 652"
Ford Place,51.503104,0.293816,1,159G0008601,370
Ford Road,51.53223,-0.03348,1,490006904E,"339, 8, N8"
Ford Road,51.53224,-0.03293,1,490006904W,"339, 8, N8"
Ford Road,51.54006,0.15262,1,490006905W,145
Ford's East Entrance,51.52755,0.15949,1,490006906E,"174, 287"
Fordbridge Roundabout,51.427573,-0.471131,1,40004402110B,290
Fordbridge Roundabout,51.427597,-0.471562,1,40004402110A,290
Fordham Park,51.478,-0.03479,1,490006897N,225
Fordingley Road,51.52897,-0.20162,1,490006901N,"187, 36"
Fordmill Road,51.43783,-0.02493,1,490013661N,336
Fordmill Road,51.44017,-0.02233,1,490004734S,336
Fore Street,51.58263,-0.40941,1,490006923S,H13
Fore Street,51.58399,-0.40856,1,490006922E,H13
Forest Academy,51.37044,-0.03119,1,490013378S,"194, 198"
Forest Gate Rail Station,51.549432,0.024353,0,910GFRSTGT,"25, 325, 330, 425, 58, 86, Elizabeth line, N25, N86"
Forest Gate Station,51.54891,0.02501,1,490001111B,"330, 58"
Forest Gate Station,51.54921,0.02473,1,490001111A,"330, 58, 678"
Forest Gate Station,51.54946,0.02321,1,490001111D,308
Forest Gate Station,51.54957,0.0246,1,4900FRSTGT1,
Forest Gate Station,51.54964,0.02467,1,4900FRSTGT2,
Forest Gate/ Bective Road,51.5543,0.02476,1,490006916W,
Forest Glade,51.61547,0.00766,1,490006918N,"275, 675"
Forest Hill Fire Station,51.44223,-0.04513,1,490006920W,"122, 185"
Forest Hill Fire Station,51.44234,-0.04616,1,490006920E,"122, 185"
Forest Hill Pools,51.43655,-0.05511,1,490000866Z,"122, 176, 197"
Forest Hill Pools,51.43759,-0.05455,1,490000866Y,"122, 176, 197"
Forest Hill Rail Station,51.43928,-0.053157,0,910GFORESTH,"122, 176, 185, 197, 356, Southern, Windrush"
Forest Hill Station,51.43921,-0.05302,0,4900FORESTH4,
Forest Hill Station,51.43934,-0.05387,0,4900FORESTH2,
Forest Hill Station,51.43938,-0.05435,0,4900FORESTH1,
Forest Hill Station,51.44009,-0.05191,0,4900FORESTH3,
Forest Hill Station  / Dartmouth Road,51.43884,-0.05408,1,490001112E,122
Forest Hill Station  / Devonshire Road,51.43961,-0.0537,1,490001112F,"122, 185, 356"
Forest Hill Station  / London Road,51.43934,-0.05468,1,490001112B,"185, 356"
Forest Hill Station  / London Road,51.43937,-0.05515,1,490001112D,"176, 185, 197, 356"
Forest Hill Station  / London Road,51.43965,-0.05537,1,490001112A,"176, 185, 197, 356"
Forest Hill Station  / Waldram Crescent,51.44003,-0.05186,1,490006919K,"122, 185"
Forest Mount Road,51.60326,0.00205,1,490008138N,"275, 675"
Forest Road,51.38312,-0.20466,1,490006935S,80
Forest Road,51.5443,-0.07596,1,490006929D,"149, 242, 243, 277, 488, 67, 76, N242"
Forest Road,51.58767,-0.04027,1,490006928S,158
Forest Road,51.5881,-0.03023,1,490006932N,W15
Forest Road,51.58814,-0.0402,1,490006928N,158
Forest Road,51.58847,-0.0303,1,490006932S,W15
Forest Road,51.59303,-0.00094,1,490006925N,"275, 675"
Forest Road,51.59335,0.0096,1,490006926N,20
Forest Road,51.5934,-0.00086,1,490006925S,"275, 675"
Forest Road,51.59345,0.00989,1,490006926S,20
Forest Road,51.60808,0.12947,1,490006931N,"247, 362"
Forest Road,51.60826,0.12967,1,490006931S,"247, 362"
Forest Road,51.62088,0.02357,1,490006930S,"179, 397"
Forest Road,51.62103,0.02339,1,490006930N,"179, 397"
Forest Road,51.64659,0.054147,1,150042010005,"20, 397"
Forest Road,51.64694,0.054698,1,150042010006,"20, 397"
Forest Road / Bell Corner,51.58956,-0.01852,1,490014163N2,
Forest Road / Bell Corner,51.5897,-0.01825,1,490014163N,"215, 275, 34, 357, 675, 97, N26, N73, SL1"
Forest Road / Bell Corner,51.59062,-0.01731,1,490014163S,"215, 34, 357, 97, N26, SL1"
Forest Road / Bridge Road,51.4699,0.19052,1,490006924N,99
Forest Road / Bridge Road,51.4702,0.19062,1,490006924S,99
Forest Road / Jubilee Park,51.63245,-0.0544,1,490006933S,"192, 279, 349, 491, N279"
Forest Road / Jubilee Park,51.6335,-0.05378,1,490008387N,"279, 349, N279"
Forest Road / Slade Green Station,51.46761,0.19081,1,490001252N,89
Forest Road / Slade Green Station,51.46766,0.19076,1,490001252A,"89, 99, N89"
Forest Road / Sutton,51.38396,-0.20191,1,490006935E,470
Forest Road / Sutton,51.38398,-0.20193,1,490006935W1,470
Forest Road / Wood Street Library,51.59112,-0.0048,1,490014907N,W16
Forest Road / Wood Street Library,51.59221,-0.00499,1,490006934S,"123, 212, 275, 675, SL2, W16"
Forestdale,51.62006,-0.1224,1,490006908N2,"299, N91"
Forestdale,51.62064,-0.12087,1,490006908N1,"121, 616, W6"
Forestdale,51.62155,-0.12163,1,490006908S,"121, 299, 616, N91, W6"
Foresters Arms,51.47487,0.10948,1,490006911N,"422, 96"
Foresters Crescent,51.45855,0.15196,1,490006620E,"229, 492, 89, 99, B11, B16, N89"
Foresters Drive / The Newlands,51.35256,-0.13749,1,490013472N,S4
Forgefield Court,51.39188,0.11525,1,490006938W,"B14, R6"
Forgefield Court,51.39196,0.11573,1,490006938E,"B14, R6"
Forsyth Gardens,51.48344,-0.10199,1,490006941N,P5
Forsyth Gardens,51.48364,-0.10132,1,490012972S,P5
Fort Road,51.54322,-0.36486,1,490006950S,E10
Fort Road,51.54344,-0.36485,1,490006950N,E10
Fortess Road,51.55207,-0.14147,1,490006943E,"214, 88"
Fortess Walk,51.55253,-0.14097,1,490008662G,"134, N20"
Fortess Walk,51.55343,-0.14094,1,490008661N,"134, N20"
Forthbridge Road,51.46122,-0.1543,1,490006945W,"35, 37"
Forthbridge Road,51.46132,-0.1538,1,490006945N,"35, 37"
Fortis Green,51.59001,-0.164,1,490006946S,"263, N271"
Fortis Green Road,51.58896,-0.14588,1,490005250N,"134, 43"
Fortis Green Road,51.58923,-0.1457,1,490006948M,"134, 43"
Fortismere Avenue,51.59114,-0.14998,1,490006949E,"102, 234, 603, 653"
Fortune Green,51.55455,-0.19676,1,490006951S,"139, 328"
Fortune Green,51.55476,-0.19695,1,490006951N,"139, 328"
Fortune Green Road,51.55207,-0.19477,1,490003186E,C11
Fortune Green Road,51.5569,-0.19606,1,490006953S,"139, 328"
