commonName,lat_x,lon_x,is_pure_bus,id,lines,commonName_clean,line_id,line_name,mode_name,station_id,station_name,lat_y,lon_y,station_modes,station_name_clean
Argyle Road / Avondale Avenue,51.61337,-0.18614,1.0,490003373W,221,argyle road / avondale avenue,,,,,,,,,
Argyle Road / Avondale Avenue,51.61356,-0.18639,1.0,490003373E,221,argyle road / avondale avenue,,,,,,,,,
Argyle Road / Courthouse Road,51.61247,-0.18804,1.0,490000375Z,326,argyle road / courthouse road,,,,,,,,,
Argyle Road / Courthouse Road,51.61359,-0.18759,1.0,490000375Y,326,argyle road / courthouse road,,,,,,,,,
Ariel Way / White City Bus Station,51.50741,-0.2245,1.0,490003375WB,"148, 220, 272, 72, 95, N72",ariel way / white city bus station,,,,,,,,,
Ariel Way / White City Bus Station,51.50844,-0.22472,1.0,490018981ZW,"220, 272, N72",ariel way / white city bus station,,,,,,,,,
Ark Elvin Academy / Park Lane,51.55351,-0.2918,1.0,490014378M,"18, N18",ark elvin academy / park lane,,,,,,,,,
Ark Elvin Academy / Park Lane,51.55365,-0.29214,1.0,490005584K,"18, N18",ark elvin academy / park lane,,,,,,,,,
Arkwright Road,51.34817,-0.07786,1.0,490003377N,412,arkwright road,,,,,,,,,
Arkwright Road,51.34844,-0.07815,1.0,490003377S,412,arkwright road,,,,,,,,,
Arlington Close,51.44231,0.08727,1.0,49000HC84S,,arlington close,,,,,,,,,
Arlington Crescent,51.68216,-0.03344,1.0,490003378G,"217, 279, 317, 327, 491, N279",arlington crescent,,,,,,,,,
Arlington Drive,51.58359,-0.43208,1.0,490003379S,H13,arlington drive,,,,,,,,,
Arlington Drive,51.58429,-0.43307,1.0,490003379N,H13,arlington drive,,,,,,,,,
Arlington Road,51.53665,-0.14266,1.0,490003380N,"274, 88",arlington road,,,,,,,,,
Arlington Road,51.62753,-0.14051,1.0,490003381S,,arlington road,,,,,,,,,
Arlington Road,51.62784,-0.14079,1.0,490003381N,,arlington road,,,,,,,,,
Armada Point,51.50947,0.07476,1.0,490018714S,"262, 366, N551",armada point,,,,,,,,,
Armada Point,51.50987,0.07488,1.0,490018714N,"262, 366, N551",armada point,,,,,,,,,
Armoury Way,51.4583,-0.19668,1.0,490003383D,"220, 270, 485",armoury way,,,,,,,,,
Armoury Way,51.45831,-0.19661,1.0,490003383E,"170, 220, 270, 337, 37, 485, 670",armoury way,,,,,,,,,
Army Reserve Centre,51.3095,-0.1252,1.0,490013199E,404,army reserve centre,,,,,,,,,
Army Reserve Centre,51.54772,-0.46996,1.0,490008228E,U2,army reserve centre,,,,,,,,,
Army Reserve Centre,51.54772,-0.46833,1.0,490008228W,U2,army reserve centre,,,,,,,,,
Armytage Road,51.48273,-0.39411,1.0,490016383N,H28,armytage road,,,,,,,,,
Armytage Road,51.48321,-0.39389,1.0,490016383S,H28,armytage road,,,,,,,,,
Arnhem Avenue,51.49761,0.247348,1.0,1590002901,372,arnhem avenue,,,,,,,,,
Arnhem Avenue,51.497652,0.247523,1.0,1590003001,372,arnhem avenue,,,,,,,,,
Arnhem Wharf Primary School,51.49432,-0.02487,1.0,490006092S,"135, 277, D7, N277, N550",arnhem wharf primary school,,,,,,,,,
Arnhem Wharf Primary School,51.49458,-0.02526,1.0,490006092N,"135, 277, D7, N277, N550",arnhem wharf primary school,,,,,,,,,
Arnison Road,51.400579,-0.347966,1.0,40004405131B,411,arnison road,,,,,,,,,
Arnison Road,51.401113,-0.34753,1.0,40004405131A,411,arnison road,,,,,,,,,
Arnold Road,51.5351,0.14826,1.0,490003388S,"173, 174, 175, 673",arnold road,,,,,,,,,
Arnold Road,51.53604,0.14777,1.0,490003388N,"173, 174, 175, 673",arnold road,,,,,,,,,
Arnold Road,51.5475,-0.37923,1.0,490003387S,E10,arnold road,,,,,,,,,
Arnold Road,51.54796,-0.37872,1.0,490003387N,E10,arnold road,,,,,,,,,
Arnos Grove Station,51.61596,-0.13295,1.0,490000009W,"184, 232, 34, N91, SL1",arnos grove station,,,,,,,,,
Arnos Grove Station,51.61599,-0.13376,1.0,490000009W1,"251, 298",arnos grove station,,,,,,,,,
Arnos Grove Station,51.61618,-0.13346,1.0,490000009A,"184, 232, 34, 382, N91, SL1",arnos grove station,,,,,,,,,
Arnos Grove Station,51.61621,-0.13388,1.0,490000009E1,"251, 298",arnos grove station,,,,,,,,,
Arnos Grove Swimming Pool,51.61567,-0.13003,1.0,490017817W,"184, 232, 34, N91",arnos grove swimming pool,,,,,,,,,
,,,,,,,piccadilly,Piccadilly,tube,940GZZLUASG,Arnos Grove Underground Station,51.616446,-0.133062,['tube'],arnos grove underground station
Arnsberg Way,51.45724,0.14533,1.0,490003975W1,,arnsberg way,,,,,,,,,
Arragon Gardens,51.41669,-0.12598,1.0,490003389N,"109, 250, 255, 50, G1, N109, N250",arragon gardens,,,,,,,,,
Arragon Gardens,51.41711,-0.12615,1.0,490003389S,"109, 250, 255, 50, G1, N109, N250",arragon gardens,,,,,,,,,
Arragon Road,51.44902,-0.32906,1.0,490013862G,290,arragon road,,,,,,,,,
Arragon Road,51.53116,0.04312,1.0,490003390E,"115, 147, 5, 58, N15",arragon road,,,,,,,,,
Arrowsmith Road,51.61012,0.10909,1.0,490018376N,362,arrowsmith road,,,,,,,,,
Arsenal Underground Station,51.558655,-0.107457,0.0,940GZZLUASL,"19, 236, 4, N19, Piccadilly",arsenal underground station,piccadilly,Piccadilly,tube,940GZZLUASL,Arsenal Underground Station,51.558655,-0.107457,"['tube', 'bus']",arsenal underground station
Arterberry Road,51.41211,-0.22443,1.0,490003392W2,"131, 57, N87",arterberry road,,,,,,,,,
Arterberry Road,51.41243,-0.22411,1.0,490003392W1,"131, 57, N87",arterberry road,,,,,,,,,
Arterberry Road,51.41838,-0.22781,1.0,490003393W,200,arterberry road,,,,,,,,,
Arterial Road / West Thurrock,51.489766,0.274491,1.0,1590012501,372,arterial road / west thurrock,,,,,,,,,
Arterial Road / West Thurrock,51.490162,0.275404,1.0,1590012601,372,arterial road / west thurrock,,,,,,,,,
Arterial Road West Thurrock,51.490162,0.275404,1.0,159G0012501,372,arterial road west thurrock,,,,,,,,,
Artesian Road,51.51583,-0.19542,1.0,490014402A,"28, 31, 328, 7, 70, N28, N31, N7",artesian road,,,,,,,,,
Artillery Close,51.5763,0.08358,1.0,490008372S,169,artillery close,,,,,,,,,
Artillery Place / Frances Street,51.48739,0.05766,1.0,490006981W,"291, 380, 422, 53, 54, N53",artillery place / frances street,,,,,,,,,
Artillery Place / Frances Street,51.48746,0.0574,1.0,490006981E,"291, 380, 422, 53, 54, N53",artillery place / frances street,,,,,,,,,
Artillery Place / John Wilson Street,51.48787,0.06145,1.0,490008574X,"291, 380, 422, 53, 54, N53",artillery place / john wilson street,,,,,,,,,
Arundel Avenue,51.34475,-0.06854,1.0,490003397S,412,arundel avenue,,,,,,,,,
Arundel Avenue,51.34491,-0.0689,1.0,490003397N,412,arundel avenue,,,,,,,,,
Arundel Road,51.59701,0.23246,1.0,490003401S,"256, 294, 646, 656",arundel road,,,,,,,,,
Arundel Road,51.59736,0.23233,1.0,490003401N,"256, 294, 646, 656",arundel road,,,,,,,,,
Ascalon Street,51.47746,-0.14182,1.0,490011936S,P5,ascalon street,,,,,,,,,
Ascot Gardens,51.52237,-0.37477,1.0,490005614N,120,ascot gardens,,,,,,,,,
Asda Edmonton Green,51.62295,-0.05818,1.0,4900HC189S,192,asda edmonton green,,,,,,,,,
Asda Edmonton Green,51.62333,-0.05802,1.0,490006443Z,192,asda edmonton green,,,,,,,,,
Ash Grove,51.40627,-0.05754,1.0,490003436BG,354,ash grove,,,,,,,,,
Ash Grove,51.40669,-0.05811,1.0,490003436BE,354,ash grove,,,,,,,,,
Ash Grove,51.52423,-0.3652,1.0,490003435W,"105, 95",ash grove,,,,,,,,,
Ash Grove,51.52458,-0.36474,1.0,490003435E,"105, 95",ash grove,,,,,,,,,
Ash Road,51.3748,-0.03084,1.0,490007335S,"194, 198",ash road,,,,,,,,,
Ash Road,51.38401,-0.2136,1.0,490003448S,"413, 93",ash road,,,,,,,,,
Ash Row,51.3861,0.05813,1.0,490015902SE,R3,ash row,,,,,,,,,
Ash Tree Close,51.38094,-0.30138,1.0,490013457HU,"465, 671, 71, K1, K4, N65",ash tree close,,,,,,,,,
Ashbourne Grove,51.61549,-0.25549,1.0,490003407E,"221, 240, 303, 688",ashbourne grove,,,,,,,,,
Ashbourne Rise,51.36598,0.08123,1.0,490020268N,R4,ashbourne rise,,,,,,,,,
Ashbourne Rise,51.36617,0.082,1.0,490020268S,R4,ashbourne rise,,,,,,,,,
Ashbourne Road,51.41669,-0.15239,1.0,490003408S,"127, 201",ashbourne road,,,,,,,,,
Ashbourne Road,51.41751,-0.1513,1.0,490003408N,"127, 201",ashbourne road,,,,,,,,,
Ashbourne Road,51.52915,-0.29234,1.0,490015498P,"112, 483, N83",ashbourne road,,,,,,,,,
Ashbourne Road,51.61347,0.21882,1.0,490003409S,"256, 294, 499, 646",ashbourne road,,,,,,,,,
Ashburn Gardens,51.49476,-0.18525,1.0,490006956D,"74, N74, N97",ashburn gardens,,,,,,,,,
Ashburnham Grove,51.47498,-0.01335,1.0,490003411S,"129, 199, 386, N199",ashburnham grove,,,,,,,,,
Ashburnham Grove,51.47526,-0.01313,1.0,490003411N,"129, 199, 386, N199",ashburnham grove,,,,,,,,,
Ashburnham Road,51.43771,-0.31435,1.0,490003412E,371,ashburnham road,,,,,,,,,
Ashburnham Road,51.43783,-0.31429,1.0,490003412W,371,ashburnham road,,,,,,,,,
Ashburton Avenue,51.54871,0.0923,1.0,490003417N,145,ashburton avenue,,,,,,,,,
Ashburton Park,51.38479,-0.06408,1.0,490003419D,"130, 289, 312",ashburton park,,,,,,,,,
Ashburton Park,51.38487,-0.06379,1.0,490003419C,"130, 289, 312",ashburton park,,,,,,,,,
Ashburton Road,51.37449,-0.07421,1.0,490003420W2,"119, 194, 198, 466",ashburton road,,,,,,,,,
Ashburton Road,51.37505,-0.07583,1.0,490003420E,"119, 194, 198, 466",ashburton road,,,,,,,,,
Ashburton Road,51.37927,-0.07505,1.0,490015131W1,"289, 312, 367, 689",ashburton road,,,,,,,,,
Ashchurch Terrace,51.50188,-0.24183,1.0,490003424S,"218, 306, N266",ashchurch terrace,,,,,,,,,
Ashcroft Avenue,51.44869,0.09974,1.0,490002113Z,B13,ashcroft avenue,,,,,,,,,
Ashcroft Court,51.62992,-0.16928,1.0,490003425E,"125, 251, 34, 628, 688",ashcroft court,,,,,,,,,
Ashdown Road,51.331834,-0.251533,1.0,40004406052B,166,ashdown road,,,,,,,,,
Ashdown Road,51.332138,-0.25201,1.0,40004406052A,166,ashdown road,,,,,,,,,
Ashen Vale,51.34748,-0.05207,1.0,490003426W,"359, 64",ashen vale,,,,,,,,,
Ashfield Lane,51.41501,0.08176,1.0,490003427W,"160, 269, 625, 638",ashfield lane,,,,,,,,,
Ashfield Lane,51.41514,0.08184,1.0,490003427E,"160, 269, 625, 638",ashfield lane,,,,,,,,,
Ashford (Surrey) Rail Station,51.436507,-0.468071,0.0,910GASFDMSX,"117, 216, South Western Railway",ashford (surrey) rail station,,,,,,,,,
Ashford Hospital,51.444087,-0.474911,1.0,40004402014A,"116, 203",ashford hospital,,,,,,,,,
Ashford Hospital,51.444627,-0.474951,1.0,40004402075A,"116, 203",ashford hospital,,,,,,,,,
Ashford Hospital Entrance,51.4441,-0.47589,1.0,400G4402014A,"116, 203",ashford hospital entrance,,,,,,,,,
Ashford Railway Station,51.435667,-0.46843,1.0,400G4402112A,117,ashford railway station,,,,,,,,,
Ashford Road,51.422993,-0.447667,1.0,40004402098A,290,ashford road,,,,,,,,,
Ashford Road,51.424209,-0.449841,1.0,40004402098B,290,ashford road,,,,,,,,,
Ashford Road,51.425896,-0.475661,1.0,40004402111B,290,ashford road,,,,,,,,,
Ashford Road,51.426083,-0.476158,1.0,40004402111A,290,ashford road,,,,,,,,,
Ashford Road Roundabout,51.425896,-0.475661,1.0,400G4402111B,290,ashford road roundabout,,,,,,,,,
Ashford Station,51.435614,-0.46918,1.0,40004402112B,117,ashford station,,,,,,,,,
Ashford Station,51.435667,-0.46843,1.0,40004402112A,117,ashford station,,,,,,,,,
Ashford War Memorial,51.432416,-0.460526,1.0,40004402106B,"117, 216, 290",ashford war memorial,,,,,,,,,
Ashford War Memorial,51.432505,-0.460436,1.0,40004402106A,"117, 216, 290",ashford war memorial,,,,,,,,,
Ashgrove Road,51.4222,-0.0023,1.0,490003438S2,"208, 320, N199",ashgrove road,,,,,,,,,
Ashgrove Road,51.42228,-0.00262,1.0,490003438S1,"208, 320, N199",ashgrove road,,,,,,,,,
Ashley Drive,51.4479,-0.36646,1.0,490018717N,481,ashley drive,,,,,,,,,
Ashley Drive,51.44798,-0.36632,1.0,490018717S,481,ashley drive,,,,,,,,,
Ashley Drive,51.645295,-0.261528,1.0,210021002040,"107, 292",ashley drive,,,,,,,,,
Ashley Drive,51.645762,-0.261467,1.0,210021004780,"107, 292",ashley drive,,,,,,,,,
Ashley Lane,51.59317,-0.21912,1.0,490003441S,240,ashley lane,,,,,,,,,
Ashley Lane,51.59385,-0.21839,1.0,490003441N,240,ashley lane,,,,,,,,,
Ashley Road,51.332303,-0.266746,1.0,40004406119A,"166, 293",ashley road,,,,,,,,,
Ashley Road,51.65683,-0.04623,1.0,490004312W,307,ashley road,,,,,,,,,
Ashley Road,51.65696,-0.0464,1.0,490004312E,307,ashley road,,,,,,,,,
Ashley Road (N17),51.59047,-0.06122,1.0,490020103N,,ashley road (n17),,,,,,,,,
Ashmere Avenue,51.40685,-0.00908,1.0,490003442N,227,ashmere avenue,,,,,,,,,
Ashmore Road,51.52481,-0.20289,1.0,490003444W,"18, 228, 28, N18",ashmore road,,,,,,,,,
Ashmour Gardens,51.5896,0.17749,1.0,490003445W,103,ashmour gardens,,,,,,,,,
Ashmour Gardens,51.58978,0.17731,1.0,490003445E,103,ashmour gardens,,,,,,,,,
Ashridge Way,51.39816,-0.20729,1.0,490003447W,"163, 293",ashridge way,,,,,,,,,
Ashridge Way,51.3984,-0.20673,1.0,490003447E,"163, 293",ashridge way,,,,,,,,,
Ashridge Way,51.40273,-0.20912,1.0,490003446W,"164, 413",ashridge way,,,,,,,,,
Ashridge Way,51.4029,-0.20978,1.0,490003446E,"164, 413",ashridge way,,,,,,,,,
Ashton Playing Fields,51.60532,0.04968,1.0,490003450N,"275, W12",ashton playing fields,,,,,,,,,
Ashton Playing Fields,51.60535,0.05054,1.0,490003450M,"275, W12",ashton playing fields,,,,,,,,,
Ashton Road,51.59661,0.21979,1.0,490003451Y,"346, 496, 656",ashton road,,,,,,,,,
Ashton Road,51.59734,0.21871,1.0,490003451Z,346,ashton road,,,,,,,,,
Ashton Road,51.59778,0.21756,1.0,490003451E,"496, 656",ashton road,,,,,,,,,
Ashurst Drive,51.57528,0.07399,1.0,490003452E,"296, 396, 66",ashurst drive,,,,,,,,,
Ashville Road,51.56315,0.00312,1.0,490003455S,"339, W15",ashville road,,,,,,,,,
Askew Road,51.49916,-0.24107,1.0,490015455W,"237, 94",askew road,,,,,,,,,
Askew Road,51.49956,-0.24009,1.0,490015455E,"237, 94",askew road,,,,,,,,,
Askew Road,51.50671,-0.24413,1.0,490003456W,"207, N207",askew road,,,,,,,,,
Askew Road Library / Gayford Road,51.50324,-0.24338,1.0,490007145N,"218, 306, N266",askew road library / gayford road,,,,,,,,,
Askew Road Library / Gayford Road,51.50364,-0.24338,1.0,490007145S,"218, 306, N266",askew road library / gayford road,,,,,,,,,
Askwith Road,51.52512,0.17156,1.0,490016809E,"287, 365",askwith road,,,,,,,,,
Asmuns Hill,51.58501,-0.19446,1.0,490003458Z,H2,asmuns hill,,,,,,,,,
Aspen Lane,51.53047,-0.38003,1.0,490011995N,"696, E6",aspen lane,,,,,,,,,
Aspen Way,51.50598,-0.0074,1.0,490003459Q,"D6, D7, N550",aspen way,,,,,,,,,
Aspen Way,51.50677,-0.00792,1.0,490003459R,"D6, D7, N550",aspen way,,,,,,,,,
Athelney Street,51.43397,-0.02249,1.0,490002381ZW,,athelney street,,,,,,,,,
Athelstan Park,51.40404,-0.2943,1.0,490003467S,"K1, K4",athelstan park,,,,,,,,,
Athelstan Park,51.40461,-0.29445,1.0,490003467N,"K1, K4",athelstan park,,,,,,,,,
Athenaeum Road,51.63124,-0.17537,1.0,490015488J,"234, 263, 326, 34, 626, 634, N20",athenaeum road,,,,,,,,,
Athenaeum Road / The Firs,51.63215,-0.17208,1.0,490002284YY,,athenaeum road / the firs,,,,,,,,,
Athenaeum Road / The Firs,51.63261,-0.16858,1.0,490013358E,,athenaeum road / the firs,,,,,,,,,
Athenaeum Road / The Firs,51.63267,-0.16841,1.0,490002284ZZ,,athenaeum road / the firs,,,,,,,,,
Atherton Leisure Centre,51.54396,0.01377,1.0,490003468W,"25, 425, 86, N25, N86",atherton leisure centre,,,,,,,,,
Atherton Leisure Centre,51.54446,0.01538,1.0,490003468E,"25, 425, 86, N25, N86",atherton leisure centre,,,,,,,,,
Athlone House,51.57205,-0.15709,1.0,490003469W,"210, 310, 603",athlone house,,,,,,,,,
Athlone House,51.57215,-0.15712,1.0,490003469E,"210, 310, 603",athlone house,,,,,,,,,
Athole Gardens,51.6431,-0.07407,1.0,490023111N,377,athole gardens,,,,,,,,,
Atkins Road,51.44692,-0.13239,1.0,490003472N1,50,atkins road,,,,,,,,,
Atkins Road / New Park Road,51.44716,-0.12954,1.0,490010243W,"137, 417, 57, 59, N137",atkins road / new park road,,,,,,,,,
Atkins Road / New Park Road,51.44716,-0.12905,1.0,490010243E,"137, 417, 57, 59, N137",atkins road / new park road,,,,,,,,,
Atkinson Close / Copse Hill,51.41826,-0.23954,1.0,490003470W,200,atkinson close / copse hill,,,,,,,,,
Atlas Road,51.55796,-0.26974,1.0,490007677S,"206, 92",atlas road,,,,,,,,,
Atrium Hotel,51.46608,-0.42032,1.0,490002202Z,,atrium hotel,,,,,,,,,
Atwater Close,51.44473,-0.11678,1.0,490003473W,201,atwater close,,,,,,,,,
Atwater Close,51.44478,-0.11659,1.0,490003473E,201,atwater close,,,,,,,,,
Auckland Rise,51.41127,-0.08122,1.0,490003474N,410,auckland rise,,,,,,,,,
Audleigh Place,51.607209,0.067086,1.0,150003475W,275,audleigh place,,,,,,,,,
Audleigh Place,51.607386,0.066776,1.0,150003475E,275,audleigh place,,,,,,,,,
Audley Road,51.5205,-0.29139,1.0,490003477S,"112, 483, N83",audley road,,,,,,,,,
Audley Road,51.58222,-0.23389,1.0,490003476W,"83, N5, N83",audley road,,,,,,,,,
Audley Road,51.58234,-0.2332,1.0,490003476E1,"183, 653, 683, 83, N5, N83",audley road,,,,,,,,,
Audley Road,51.58264,-0.23436,1.0,490003476E2,"183, 653, 683",audley road,,,,,,,,,
Audley Road,51.58312,-0.23368,1.0,490003476S,"183, 653, 683",audley road,,,,,,,,,
Audric Close,51.41443,-0.288,1.0,490003479N,371,audric close,,,,,,,,,
Augusta Street,51.51365,-0.0188,1.0,490003480W,309,augusta street,,,,,,,,,
Augusta Street,51.51377,-0.01982,1.0,490005607S,309,augusta street,,,,,,,,,
Augustine Road,51.39947,0.12154,1.0,490000788Y,R4,augustine road,,,,,,,,,
Augustus Road,51.44459,-0.2114,1.0,490000209W,493,augustus road,,,,,,,,,
Augustus Road,51.44467,-0.21165,1.0,490000209E,493,augustus road,,,,,,,,,
Auriol Drive,51.54515,-0.34524,1.0,490013569N,"395, 92",auriol drive,,,,,,,,,
Auriol Drive,51.54635,-0.34451,1.0,490013569S,"395, 92",auriol drive,,,,,,,,,
Auriol Drive,51.55214,-0.45104,1.0,490003484W,U2,auriol drive,,,,,,,,,
Auriol Drive,51.55225,-0.45155,1.0,490003484E,U2,auriol drive,,,,,,,,,
Austin Court,51.64463,-0.07523,1.0,490023113W,377,austin court,,,,,,,,,
Austin Court,51.64491,-0.076,1.0,490023113N,377,austin court,,,,,,,,,
Austin Road,51.38944,0.10308,1.0,490003486W,"273, 661",austin road,,,,,,,,,
Austin Road,51.3895,0.10344,1.0,490003486E,"273, 661",austin road,,,,,,,,,
Austin Road,51.39051,0.10439,1.0,490003486S,"273, 661, R3",austin road,,,,,,,,,
Austin Road,51.39072,0.1043,1.0,490003486N,R3,austin road,,,,,,,,,
Austins Lane,51.56523,-0.44322,1.0,490013091A,"278, U1, U10",austins lane,,,,,,,,,
Austral Close,51.43295,0.09624,1.0,490015179Z,,austral close,,,,,,,,,
Austral Close,51.43297,0.09745,1.0,490015179E1,233,austral close,,,,,,,,,
Austyn Gardens,51.38397,-0.2842,1.0,490003488N,"665, K2",austyn gardens,,,,,,,,,
Austyn Gardens,51.38446,-0.28294,1.0,490003488S,"665, K2",austyn gardens,,,,,,,,,
Autumn Street,51.53465,-0.02195,1.0,490014659N,339,autumn street,,,,,,,,,
Autumn Street,51.53515,-0.0218,1.0,490003489S,339,autumn street,,,,,,,,,
Avalon Close,51.36962,0.12088,1.0,490003490W,R9,avalon close,,,,,,,,,
Avanti House Primary School,51.62688,-0.34035,1.0,490013153N,258,avanti house primary school,,,,,,,,,
Avanti House Primary School,51.62733,-0.33958,1.0,490013153S,258,avanti house primary school,,,,,,,,,
Aveling Park Road,51.59378,-0.01748,1.0,490014158S,"215, 34, 357, 97, N26",aveling park road,,,,,,,,,
Aveling Park Road,51.59404,-0.01688,1.0,490014158N,"215, 34, 357, 97, N26",aveling park road,,,,,,,,,
Avelon Road,51.60303,0.17529,1.0,490003491W,"175, 375",avelon road,,,,,,,,,
Avelon Road,51.60362,0.1763,1.0,490003491E,"103, 175, 375, 651",avelon road,,,,,,,,,
Avenue Park Road,51.44025,-0.10264,1.0,490003492E,"201, P13",avenue park road,,,,,,,,,
Avenue Park Road,51.44074,-0.10464,1.0,490003492W,"201, P13",avenue park road,,,,,,,,,
Avenue Road,51.327649,-0.270022,1.0,40004406011A,"406, 467",avenue road,,,,,,,,,
Avenue Road,51.327996,-0.270411,1.0,40004406011B,"166, 293, 406, 467",avenue road,,,,,,,,,
Avenue Road,51.41044,-0.23772,1.0,490003496E,57,avenue road,,,,,,,,,
Avenue Road,51.41059,-0.23803,1.0,490003496W,57,avenue road,,,,,,,,,
Avenue Road,51.41094,-0.0559,1.0,490003494E,"197, 356, 358, 75, N3",avenue road,,,,,,,,,
Avenue Road,51.41156,-0.05477,1.0,490003494W,"197, 356, 358, 75, N3",avenue road,,,,,,,,,
Avenue Road,51.42078,-0.33235,1.0,490018858W,481,avenue road,,,,,,,,,
Avenue Road,51.42083,-0.33202,1.0,490018858E,481,avenue road,,,,,,,,,
Avenue Road,51.53467,-0.16435,1.0,490003497E,274,avenue road,,,,,,,,,
Avenue Road,51.53517,-0.16296,1.0,490003497W,274,avenue road,,,,,,,,,
Avenue Road,51.63617,-0.13737,1.0,490005040S,"125, 298, 299, 382, 628, 688, 699",avenue road,,,,,,,,,
Avenue Road,51.63618,-0.13771,1.0,490005040N,"125, 298, 299, 382, 628, 688, 699",avenue road,,,,,,,,,
Avenue Road / Crook Log,51.45902,0.13075,1.0,490007256S,"422, B11, B12, B15",avenue road / crook log,,,,,,,,,
Avenue Road / Erith,51.47558,0.17049,1.0,490002240Z,B12,avenue road / erith,,,,,,,,,
Avenue Road / Erith,51.47607,0.17246,1.0,490002240Y,B12,avenue road / erith,,,,,,,,,
Avenue Road / Grosvenor Court,51.63905,-0.13401,1.0,490003501W,299,avenue road / grosvenor court,,,,,,,,,
Avenue Road / Grosvenor Court,51.6394,-0.13398,1.0,490003501E,299,avenue road / grosvenor court,,,,,,,,,
Avenue Road / Nursery Road,51.6373,-0.13632,1.0,490018752W,299,avenue road / nursery road,,,,,,,,,
Avenue Road / Station Road,51.34427,-0.20238,1.0,490018771S,S4,avenue road / station road,,,,,,,,,
Avenue Road / Swiss Cottage Library,51.54188,-0.17223,1.0,490003495H,"31, C11, N28, N31",avenue road / swiss cottage library,,,,,,,,,
Avery Hill / Riefield Road,51.45217,0.07881,1.0,490003504N,"621, 624, 658, B15",avery hill / riefield road,,,,,,,,,
Avery Hill Road / Halfway Street,51.44465,0.08154,1.0,490003507S,"162, B13",avery hill road / halfway street,,,,,,,,,
Avery Hill Road / Halfway Street,51.44489,0.08145,1.0,490003507N,"162, B13",avery hill road / halfway street,,,,,,,,,
Avignon Road / Drakefell Road,51.46579,-0.04389,1.0,490006190BK,"343, 484, N343",avignon road / drakefell road,,,,,,,,,
Avon Road,51.5282,-0.36737,1.0,490003518S,"105, 95",avon road,,,,,,,,,
Avon Road,51.52902,-0.36751,1.0,490003518N,"105, 95",avon road,,,,,,,,,
Avondale Crescent,51.57695,0.04587,1.0,490006805E2,366,avondale crescent,,,,,,,,,
Avondale Drive,51.51181,-0.41227,1.0,490003512S,"140, 696, 90, E6, N140",avondale drive,,,,,,,,,
Avondale Drive,51.51198,-0.41272,1.0,490003512N,"140, 696, 90, E6, N140",avondale drive,,,,,,,,,
Avondale Road,51.42774,-0.19455,1.0,490003515W,"156, 493, N87",avondale road,,,,,,,,,
Avondale Road,51.42775,-0.19544,1.0,490003515E,"156, 493, N87",avondale road,,,,,,,,,
Avondale Road,51.46698,0.12016,1.0,490007969Z,B15,avondale road,,,,,,,,,
Avondale Road,51.467,0.12082,1.0,490007969Y,B15,avondale road,,,,,,,,,
Avondale Road,51.46963,-0.2598,1.0,490006144S,"209, 378",avondale road,,,,,,,,,
Avondale Road,51.46978,-0.2614,1.0,490003516W,"419, 533, 969, N22",avondale road,,,,,,,,,
Avondale Road,51.46992,-0.25953,1.0,490003516E,"209, 378, 419, 533, 969, N22",avondale road,,,,,,,,,
Avondale Road,51.60077,-0.18055,1.0,490019118E,382,avondale road,,,,,,,,,
Awlfield Avenue,51.59784,-0.08313,1.0,490003521W1,"123, 243",awlfield avenue,,,,,,,,,
Awlfield Avenue,51.59801,-0.08192,1.0,490003521E,"123, 243",awlfield avenue,,,,,,,,,
Awlfield Avenue,51.60102,-0.08275,1.0,490008071W2,318,awlfield avenue,,,,,,,,,
Awlfield Avenue,51.60128,-0.08301,1.0,490008071E,318,awlfield avenue,,,,,,,,,
Ayles Road,51.53174,-0.40644,1.0,490003528Z,E9,ayles road,,,,,,,,,
Ayles Road,51.53205,-0.40555,1.0,490003528S2,E9,ayles road,,,,,,,,,
Ayles Road / Owen Close,51.53307,-0.40526,1.0,490018757N,,ayles road / owen close,,,,,,,,,
Aylesbury Street,51.52374,-0.10279,1.0,490003525N,153,aylesbury street,,,,,,,,,
Aylesbury Street,51.56214,-0.25727,1.0,490003524N,"182, 245, 297, 302, N98",aylesbury street,,,,,,,,,
Aylmer Road,51.58434,-0.1673,1.0,490003529A,"102, H3",aylmer road,,,,,,,,,
Ayloffs Walk,51.57791,0.21904,1.0,490003532S,"256, 646, 656",ayloffs walk,,,,,,,,,
Ayloffs Walk,51.57876,0.21898,1.0,490003532N,"256, 646, 656",ayloffs walk,,,,,,,,,
Back Lane,51.489432,0.262936,1.0,159G0701101,372,back lane,,,,,,,,,
Bacon Lane,51.59075,-0.27191,1.0,490003538W,303,bacon lane,,,,,,,,,
Bacon Lane,51.59128,-0.27068,1.0,490003538E,303,bacon lane,,,,,,,,,
Bacon Lane,51.60414,-0.28112,1.0,490003537W,"288, 688",bacon lane,,,,,,,,,
Bacon Lane,51.60452,-0.28066,1.0,490003537E,"288, 628, 688",bacon lane,,,,,,,,,
Bader Close,51.32146,-0.09518,1.0,490020219N,439,bader close,,,,,,,,,
Badric Court,51.46984,-0.17417,1.0,490003543LL,"44, N44",badric court,,,,,,,,,
Badric Court,51.47001,-0.17477,1.0,490003543E,"44, N44",badric court,,,,,,,,,
Baffin Way,51.50689,-0.00697,1.0,490000804Y,"D3, N550",baffin way,,,,,,,,,
